url,headline,body,author,time,date,source
https://inshorts.com/en/news/interim-cbi-chief-rao-cancels-all-transfer-orders-by-alok-verma-1547203673347,Interim CBI chief Rao cancels all transfer orders by Alok Verma,"Interim CBI director M Nageswara Rao on Friday cancelled all transfer decisions taken by Alok Verma during his two days in office after a 77-day forced leave. Verma, who resumed duty as CBI Director on Wednesday, had signed nearly 24 transfer orders and reversed most transfer orders by Rao before being sacked by a PM Narendra Modi-led panel on Thursday.  ",Gaurav Shroff,04:17 pm,11-Jan-2019,Hindustan Times
https://inshorts.com/en/news/have-seen-sachin-tendulkar-get-angry-but-not-ms-dhoni-ravi-shastri-1547898100760,Have seen Sachin Tendulkar get angry but not MS Dhoni: Ravi Shastri,"India head coach Ravi Shastri has said that he has never seen an individual so sound as former India captain MS Dhoni. ""I have seen Sachin Tendulkar get angry at times. Not this man,"" he added. ""Players [like Dhoni] only come once in 30 or 40 years. That is what I tell Indians. Enjoy while it lasts,"" Shastri further said.",Anmol Sharma,05:11 pm,19-Jan-2019,CricTracker
https://inshorts.com/en/news/forget-10yearchallenge-take-akchallenge-anil-shares-video-1547897196080,"Forget #10YearChallenge, take #AKChallenge: Anil shares video","As part of the viral #10YearChallenge, Anil Kapoor shared a collage of his videos from various years [1989, 1999, 2009 and 2019] and wrote, ""Forget the #10YearChallenge, take the #AKChallenge!"" The video includes songs from Anil\'s films \'Ram Lakhan\', \'Taal\', a scene from \'Slumdog Millionaire\' and the latest song from his upcoming film \'Ek Ladki Ko Dekha Toh Aisa Laga\'.",Deepshikha Yadav,04:56 pm,19-Jan-2019,Pinkvilla
https://inshorts.com/en/news/govt-booklet-features-metooaccused-mj-akbar-who-had-quit-last-yr-1548134509898,Govt booklet features #MeToo-accused MJ Akbar who had quit last yr,"A government booklet featuring MJ Akbar, who resigned as Minister of State for External Affairs after sexual misconduct allegations, was distributed at a Pravasi Bharatiya Divas (PBD) event on Monday. ""The booklet was published months before Akbar quit as a minister,"" said a government official. Akbar, who quit last year, has denied allegations against him.",Trivedi Bhutnath,10:51 am,22-Jan-2019,The New Indian Express
https://inshorts.com/en/news/brother-of-ips-officer-among-3-terrorists-killed-in-jk-encounter-1548159703388,Brother of IPS officer among 3 terrorists killed in J&K encounter,"Shamsul Haq, brother of an IPS officer, was among three terrorists killed on Tuesday in an encounter in Jammu and Kashmir\'s Shopian after security forces busted their hide-out. ""I remember the efforts that were made by his (Haq\'s) brother...and J&K Police to bring him back to mainstream but he met a sad end today,"" former J&K DGP SP Vaid tweeted.",Arshiya Chopra,05:51 pm,22-Jan-2019,Times Now
https://inshorts.com/en/news/cia-concludes-saudi-crown-prince-ordered-journos-killing-reports-1542426661700,CIA concludes Saudi Crown Prince ordered journo's killing: Reports,"The US' Central Intelligence Agency (CIA) has concluded that Saudi Crown Prince Mohammed bin Salman ordered the assassination of journalist Jamal Khashoggi, according to reports. The conclusion is reportedly based on a recording provided by Turkish government and \nother evidence. Khashoggi, a critic of the Saudi government, was killed at the Saudi consulate in Istanbul last month.",Ankush Verma,09:21 am,17-Nov-2018,Reuters
https://inshorts.com/en/news/bcci-offered-to-compensate-wi-players-to-save-2014-series-bravo-1542453071191,BCCI offered to compensate WI players to save 2014 series: Bravo,"Ex-Windies captain Dwayne Bravo has revealed the BCCI offered to pay the Windies\' players who had threatened to pull out of the 2014 ODI series in India following a contract dispute with their board. He also revealed that the then BCCI President N Srinivasan sent him a message at 3 am before the first ODI to ""please take the field"".",Anmol Sharma,04:41 pm,17-Nov-2018,Times Now
https://inshorts.com/en/news/ab-de-villiers-hit-odis-fastest-hundred-in-40-minutes-1547832699967,AB de Villiers hit ODIs' fastest hundred in 40 minutes,"Ex-South Africa batsman AB de Villiers slammed the fastest ODI hundred off 31 balls against Windies in 40 minutes on January 18, 2015. He came to bat in the 39th over and scored a 44-ball 149 in 59 minutes, hitting 16 sixes and 9 fours. De Villiers overtook New Zealand's Corey Anderson, who had smashed a 36-ball ton in 2014.",Anmol Sharma,11:01 pm,18-Jan-2019,The Quint
https://inshorts.com/en/news/madrasas-promote-isis-ideology-shut-them-shia-body-to-pm-1548153973346,"Madrasas promote ISIS ideology, shut them: Shia body to PM","Stating that madrasas promote ISIS ideology, Uttar Pradesh Shia Central Waqf Board chief Waseem Rizvi wrote to PM Narendra Modi, asking him to shut down primary-level madrasas in the country. ""We\'ve seen...children are the first targets when it comes to plotting terrorist activities...If madrasas aren\'t shut, in 15 years, over half the Muslim population will be supporting ISIS,"" Rizvi wrote.",Shweta Singh,04:16 pm,22-Jan-2019,Financial Express
https://inshorts.com/en/news/plane-carrying-argentine-footballer-joining-new-team-goes-missing-1548159330556,Plane carrying Argentine footballer joining new team goes missing,"A small passenger plane carrying 28-year-old Argentine footballer Emiliano Sala from France's Nantes to Wales' Cardiff vanished over the English Channel on Monday evening, according to the French civil aviation authority. Sala was set to train with his new team Cardiff City on Tuesday morning, after having signed from Ligue 1 club Nantes for a reported £15 million on Saturday. ",Anmol Sharma,05:45 pm,22-Jan-2019,Daily Mail
